order,sender,receiver,message
58,12,11,"Voorzitter. Ik dank de leden voor de gelegenheid om hier te verschijnen in verband met mijn portefeuille, die de verantwoordelijkheid voor het kader en de methodiek van het wetgevingsproces behelst. De kwaliteit van wetgeving is belegd in de portefeuille Rechtsbescherming. Het gaat dan dus over het hele proces dat moet worden gevolgd om te komen tot goede, degelijke wetgeving. Dat is de basis waarop ik hier sta, niet in verband met het specifieke wetsvoorstel dat nu voorligt. Voor wetgeving geldt namelijk in de kern dat de kwaliteit van wetgeving de verantwoordelijkheid is van de bewindspersoon die het wetsvoorstel doet. Dat is de primair aanspreekbare persoon, zowel op het eindresultaat van het voorstel als ook op het proces daarnaartoe. Vanuit mijn verantwoordelijkheid buig ik mij in algemene zin over de wijze waarop het wetgevingsproces het beste vorm kan worden gegeven en welke toetsen opportuun zijn om te komen tot een goede kwaliteit van wetgeving. Of de kwaliteit van wetgeving goed is en of het proces daarnaartoe voldoende is geweest om te komen tot wetgeving, is uiteindelijk een weging in concrete gevallen, die plaats moet vinden op het moment dat het aan de orde is. Dat is wat dit voorstel betreft nog niet aan de orde."
59,11,12,"Het moment is nu. Nú bereiken de signalen van de orde van advocaten ons. De Raad voor de rechtspraak zegt nú: een week is te kort. Het proces dendert door, tenzij deze staatssecretaris zegt: vanuit mijn verantwoordelijkheid vind ik dit niet kunnen. Ik nodig hem graag uit om zijn oordeel te geven."
60,12,11,"Het is niet aan mij om daar nu een oordeel over te geven, want dit gaat over een concreet wetsvoorstel in een specifiek proces onder verantwoordelijkheid van een andere bewindspersoon, die daar eigen keuzes in maakt. Ik vermeld nog maar even dat het proces van wetgeving een langlopend traject is met allerlei belangrijke elementen, maar sommige elementen zijn verplicht en andere niet. Wat verplicht is in deze fase is dat de Raad voor de rechtspraak wordt gevraagd naar de bekostigingsconsequenties van een wetsvoorstel. De Raad voor de rechtspraak heeft zich daarover uitgelaten en heeft ook aangekondigd dat de Raad voor de rechtspraak daar nog nader op terugkomt. Voor het overige zitten in een wetgevingsproces allerlei wegingsmomenten en toetsingsmomenten, maar vele daarvan berusten op beleid. Uiteindelijk is het de keuze van de bewindspersoon die het voorstel doet welke van die testen en consultaties de bewindspersoon in het concrete geval laat doen. Het is niet aan mij om daar nu een oordeel over te geven."
61,11,12,"Dat is het wel. Kijk, de Raad voor de rechtspraak zegt inderdaad: wij kunnen dat niet op deze korte termijn; dat is gewoon ons niet serieus nemen. Zij zeggen dat ze daarom pas in januari met dat advies komen. Het kabinet wil al op 20 december besluiten om het naar de Raad van State te sturen. Het proces dat deze staatssecretaris uitlijnt, wordt hierdoor met voeten getreden. Ik wil hem dus toch uitnodigen om bijvoorbeeld te reageren op die korte termijn. Vindt hij een week een serieuze termijn voor dit soort wetgeving?"
62,12,11,"Of een week voldoende is, is een weging in het concrete geval. Dat hangt natuurlijk af van de aard van het voorstel, de bekendheid van de materie, de afweging met het belang van spoed en dergelijke. Dat is een afweging die de primair verantwoordelijke bewindspersoon in dit concrete geval zelf maakt. In het algemeen kan ik niet zeggen dat een week te kort is. Er zijn voorbeelden van situaties waarin er op een nog veel kortere termijn is geadviseerd, in de coronatijd, maar er zijn ook andere voorbeelden. In algemene zin kun je daar dus niet iets over zeggen."
63,11,12,"We kunnen wel in concrete zin zeggen dat dit geen coronatijd is en dat iets van een dergelijke aard niet door de staatssecretaris wordt aangevoerd. Dan als tweede punt toch nog even die vertrouwelijkheid. De orde van advocaten zegt terecht: ""Het is bovendien zeer ongebruikelijk dat een wetsvoorstel vertrouwelijk ter consultatie gaat. Waarom dat thans wel gebeurt, is niet toegelicht of duidelijk geworden."" Wat is vanuit het belang van een zorgvuldige consultatie het oordeel van de staatssecretaris?"
64,12,11,"Het is mij ook opgevallen dat de orde van advocaten suggereert dat hier sprake is van een vertrouwelijk wetsvoorstel en vertrouwelijke advisering. Ik kan dat niet goed duiden. Er heeft hier een consultatie plaatsgevonden, maar niet langs de weg van een internetconsultatie. Een internetconsultatie is wel gebruikelijk geworden in de loop der tijd, maar dat is geen verplichting. Hier is er dus voor gekozen om bepaalde partijen die geconsulteerd moeten worden en kennelijk ook partijen die niet geconsulteerd hoeven te worden in deze fase, desalniettemin om advies te vragen. Ik kan dat echter niet koppelen aan de conclusie dat er sprake is van een bewust vertrouwelijk proces met vertrouwelijke advisering. De adviezen zijn al kenbaar geworden, constateer ik, dus in zoverre is er helemaal geen sprake van vertrouwelijkheid."
65,11,12,"De adviezen zijn openbaar geworden. De vraag is of de staatssecretaris hiermee zegt dat het conceptwetsvoorstel dat hem bereikt heeft, door hen ook openbaar mag worden gemaakt."
66,12,11,Ik zeg daar helemaal niks over. Ik heb ook niet gezegd dat het wetsvoorstel mij heeft bereikt. Dat zijn keuzes die de verantwoordelijk bewindspersoon heeft gemaakt in dit concrete geval. Ik kan niets daarover zeggen.
67,11,12,"Dit is toch veel inhoudelijk afschuiven op de minister, terwijl deze staatssecretaris verantwoordelijk is voor de wetgevingskwaliteit? Het kader is niks waard als het in concrete gevallen niet wordt nageleefd. Dan kom ik op het proces en het geconsulteerd worden. Is de staatssecretaris nou vanuit zijn verantwoordelijkheid of anderszins door de minister geconsulteerd over deze keuzes?"
68,12,11,"Het is niet mijn rol om te adviseren over dit soort keuzes. Het is mijn rol om te adviseren over de methodiek en over het algemene kader voor wetgeving. Het is primair de verantwoordelijkheid van de verantwoordelijke minister om daar keuzes in te maken. Er komt een moment, zodra het voorligt in de ministerraad, waarop er gekeken wordt naar de vraag of een concreet wetsvoorstel goed tot stand is gekomen. Dat is het moment waarop gekeken wordt of de uitvoering van allerlei toetsen in het kader van het Beleidskompas in voldoende mate is gedaan. Die beoordeling maak je pas op het moment dat het wetsvoorstel in die fase is beland. Dat gebeurt binnen het kabinet. In het kabinet heb ik daar mijn rol in, maar daar zal ik nooit verantwoording over afleggen, want uiteindelijk is het de verantwoordelijkheid van de bewindspersoon die het concrete voorstel doet."
69,11,12,De staatssecretaris had echter kunnen weten dat dit niet in publieke consultatie kon gaan. Hij had dus niet expliciet zelf geconsulteerd hoeven worden om toch zijn mening te geven. We hebben hem dit weekend op televisie ook horen zeggen dat hij wel degelijk bereid is om zijn mening te geven. Vanuit zijn verantwoordelijkheid voor de wetgevingskwaliteit gaat het ook om normeren in concrete gevallen. Hij verwijst nu zelf naar de ministerraad van 20 december. Hij zegt dat dat het moment is om te wegen. Ik wil hem dus vragen of hij daar dan iets van gaat zeggen. Laat hij ons dan ook weten wat dat geweest is?
70,12,11,"Ik weet niet wanneer het in de ministerraad komt. Ik ga daar ook geen aannames over doen. Dat is de planning van de verantwoordelijk minister van Asiel en Migratie, zoals ook te lezen is in haar brief aan uw Kamer. Op het moment dat het wetsvoorstel in een raad komt, zal mede worden beoordeeld of er voldoende waarborgen en toetsen zijn en ook of er voldoende vertrouwen is in de uitvoerbaarheid van het wetsvoorstel. U kunt ervan uitgaan dat de uitvoerbaarheid en de kwaliteit van het proces dan mijn bijzondere aandacht zullen hebben, maar dat is onderdeel van de besluitvorming binnen het kabinet, waar ik u geen inzicht in hoef te geven."
71,11,12,"Wij zijn een partner van deze staatssecretaris als het gaat om het bevorderen van de wetgevingskwaliteit. Ten slotte wil ik hem dus uitnodigen om voor alle toekomstige gevallen toch in ieder geval iets te zeggen over zijn waardering van deze gang van zaken, want anders gaat dit keer op keer gebeuren. Er komen nog veel wetgevingstrajecten aan waarin we dit niet moeten hebben."
72,12,11,"Ik heb grote waardering voor de aandacht die de heer Sneller hier steeds vraagt voor de kwaliteit van wetgeving, ook in zijn hoedanigheid als wetgevingsrapporteur, al is dat volgens hem niet de hoedanigheid waarin hij hier op dit moment staat. We vinden elkaar in die aandacht daarvoor. Niet voor niks wordt er steeds hard gewerkt aan verdere verbetering van het wetgevingsproces in het kader van het Beleidskompas, waar ik alle aandacht voor vraag van eenieder, overigens ook van alle bewindspersonen. Het is evident dat het advies is dat wetgevingsprocessen in alle gevallen zo zorgvuldig mogelijk te doorlopen zijn. Dat blijft het advies. Dat is het advies in het algemeen."
73,13,12,"Dat is het advies, maar daar gebeurt gewoon niks mee in de praktijk. De vraag is dan toch wat dat waard is. Ik dacht dat goed bestuur ook was dat je met elkaar zorgvuldige wetten maakt, dat je luistert naar de uitvoering en dat je belangrijke partijen om hun advies en mening vraagt. Kennelijk vindt de staatssecretaris Rechtsbescherming, die verantwoordelijk is voor wetgevingskwaliteit, dit niet zo belangrijk. Althans, hij loopt met een hele grote boog om alle vragen heen, die hier volgens mij terecht worden gesteld. Ik vind dat een enorm teleurstellende en ook een ietwat laffe reactie. Ik doe dus ook nog één poging. Deze staatssecretaris is verantwoordelijk voor de wetgevingskwaliteit. Kan hij een mening geven over het tot nu toe gevolgde traject waarbij belangrijke partijen maar één week de tijd krijgen, terwijl dat normaal gesproken vier weken is, en waarbij ze het vertrouwelijk moeten houden? Kan deze staatssecretaris op z'n minst, vanuit wetgevingskwaliteit gezien, daar iets van vinden?"
74,12,13,"Ik kan dat wel, maar ik doe het niet. Het is namelijk niet mijn verantwoordelijkheid in dit individuele geval. In het algemeen adviseer ik over wetgevingskwaliteit. Er worden een aantal aannames gemaakt die ik niet herken, namelijk dat dit vertrouwelijk moet worden gehouden. Dat heb ik nergens gezien. In dit geval is verzocht om te adviseren binnen een week. Is dat, gezien de aard van het voorstel, de aard van de materie en de aard van de contacten met de betrokken partijen — dit is natuurlijk niet het laatste moment waarop er gesproken wordt over de uitvoerbaarheid van de wet; in het vervolg van het proces is daar ook voortdurend aandacht voor — in dit geval voldoende? Daar laat ik me niet over uit."
75,14,1,"Ik vergeet het knopje, sorry. Dit is een first. Het is echt een first, meneer de voorzitter. U houdt me wel in toom als ik het verkeerd doe, hè? Ik heb een vraag voor de staatssecretaris. Sinds vanochtend weet ik dat ik vanuit de Kamer ook verantwoordelijk ben voor de kwaliteit van wetgeving. Daarom sta ik hier nu. Mij gaat het hierom. Ik hoor het, hoor. Ik begrijp heel goed dat de staatssecretaris helemaal niet wil gaan zeggen wat hij gaat bespreken met zijn collega's, maar hier gaat het echt om. In 2023 is er 45.000 keer een toevoeging afgegeven in verband met asielaanvragen. Die 45.000 zaken worden gedaan door minder dan 450 advocaten. Zij doen dus meer dan 100 zaken per jaar. We hebben vanochtend kunnen zien dat de Raad van State heeft gezegd dat dit leidt tot een enorme werklastverhoging. Is de staatssecretaris Rechtsbescherming onder die omstandigheden, om de kwaliteit van de wetgeving te bewaken, bereid om zich hard te maken voor het voortzetten van de dialoog met de orde van advocaten nadat het wetsvoorstel is ingediend? Is hij bereid zich in te spannen binnen het kabinet, als het ware overleg te zoeken, om ervoor te zorgen dat de orde nu niet opeens monddood is? U stopt mij nog steeds niet, voorzitter."
76,1,14,"Nee, ik dacht: het is een eerste keer, dus ik laat hem maar even. Maar u weet: een vervolgvraag duurt 30 seconden. U heeft er alweer een minuutje bij gesprokkeld. In de rechtszaal heeft u een onbeperkte spreektijd, maar hier draait het klokje mee. Maar uw vraag is duidelijk. Dat is het belangrijkste."
77,12,14,"Ik denk dat wij ons gelukkig mogen prijzen dat de heer Koops grote kennis meebrengt van het strafrecht, het recht en de rechtsbijstand. Ik noem het strafrecht in het bijzonder aangezien wij in het kader van de beraadslaging over een nieuw Wetboek van Strafvordering zeker zullen kunnen bogen op zijn grote kennis en ervaring. Ik zie uit naar die debatten. De heer Koops vraagt mij specifiek naar de problematiek van rechtsbijstand in asielzaken. De rechtsbijstand heeft heel veel aandacht van mij, van dit kabinet en ook van uw Kamer. Het is namelijk echt belangrijk dat we in dit stelsel van rechtsbijstand, niet alleen in het algemeen, maar ook met betrekking tot asielzaken, stappen gaan zetten voor een meer structurele borging van het grondwettelijke recht op rechtsbijstand. Dat zal specifiek met betrekking tot asielzaken bijzondere aandacht moeten hebben, zeker als gevolg van invoering van deze wetgeving. Er zal moeten worden bezien wat deze wetgeving gaat betekenen voor de rechtspraak en de advocatuur. Het is dus ook goed dat er vanuit de advocatuur, vanuit de rechtspraak, veel aandacht voor is dat zij hun rol in de rechtsstaat oppakken en dat zij hun medeverantwoordelijkheid om te komen tot goede wetgeving nemen door hierover te adviseren en hiervoor aandacht te vragen. Die aandacht moet het krijgen en die aandacht zal ik het geven."
78,15,1,"Sorry, ik dacht dat collega Van Baarle hier eerder stond. Tot nu toe hoor ik veel procesantwoorden. Dat vind ik zorgwekkend, want we staan hier bijna iedere week om het kabinet uit te dagen ten aanzien van een soort stresstest die op de rechtsstaat wordt gelegd. Dat wordt nu wederom gedaan. Op het moment dat alles volgens het boekje gaat maar de uitkomst volledig verkeerd is, hoort een kabinet toch op te staan en hoort het toch te normeren en aan te geven: zulke wetgeving gaan wij niet afleveren? Dan hoort het kabinet die verantwoordelijkheid toch niet af te schuiven op de samenleving en de Kamer? Dat is de vraag die ik wil stellen."
79,12,15,"Ik sta hier als verantwoordelijke voor de methodiek en het kader, dus ik kan niet anders dan juist naar het proces kijken; dat is mijn primaire taak. Ik kijk naar het proces in het algemeen: hoe behoort dat te lopen? Daar komt bij dat er geen scherp onderscheid is tussen het proces en het eindresultaat. Je kunt het proces pas beoordelen in het kader van het eindresultaat. Mevrouw Koekkoek en andere leden vragen mij om te normeren. Ik zie dat als een uitnodiging en een voorrecht, en ergens ook als een compliment, maar normeren hoef ik niet hier te doen. Normeren is een deel van mijn verantwoordelijkheid als bewindspersoon binnen het kabinet en dat doe ik op het juiste moment."
80,15,12,"Maar deze zaal is het hart van de democratie, dus als er ergens genormeerd wordt, dan is dat hier. Het klopt natuurlijk niet dat je, op het moment dat je daar staat als bewindspersoon, alleen over een klein stukje praat. Het kabinet spreekt met één mond. Ik wil de vraag niet exact herhalen, maar ik wil 'm wel terugleggen. Op het moment dat de Raad van State namelijk een uitzonderlijke positie inneemt en nog voor een wet is afgeleverd zegt ""dit deugt niet"", dan moet het proces genormeerd worden. Waarom? Omdat terecht wordt gezegd dat je het proces en de inhoud niet van elkaar kunt scheiden. Als het verkeerd gaat, als er niet geconfronteerd wordt, als de kwaliteit van wetgeving onder druk komt door het proces, dan hoort het kabinet hier al in te stappen. Ik begrijp echt niet waarom dat nu wordt geweigerd."
81,12,15,"Er wordt niets geweigerd. Normeren doe je natuurlijk niet alleen hier. Normeren doe je overal waar je een rol hebt. Daarmee is het ook onderdeel van het besluitvormingsproces in het kabinet. Dat besluitvormingsproces in het kabinet vindt plaats binnen het kabinet. Ik zie dat onderscheid dus niet zo sterk. De Raad van State heeft een rol. Dat is een verplichting en daar wordt niet van afgeweken, ook niet in deze situatie. De Afdeling advisering van de Raad van State zal op basis van het wetsvoorstel, nadat het door de ministerraad is geaccordeerd, worden geraadpleegd. Het advies dat er nu ligt, is van de Afdeling bestuursrechtspraak. Dat is dus niet de gebruikelijke en wettelijk verplichte orde. Die komt nog. Het is prematuur in zekere zin om daar nu al iets over te zeggen."
82,16,12,"Deze ontzettend belangrijke instituten in onze Nederlandse rechtsstaat en in onze Nederlandse samenleving geven aan dat dit wetgevingstraject van mevrouw Faber gewoon niet deugt, dat het te snel gaat en dat het onzorgvuldig gaat. Ik begrijp niet waarom de staatssecretaris die in het bijzonder verantwoordelijk is voor wetgevingskwaliteit, daar in de Tweede Kamer geen oordeel over wil geven. Dan vraag ik mij het volgende af. Als deze staatssecretaris nu geen oordeel wil geven, wat is dan zijn rol? Waarom zegt hij er niks over?"
83,12,16,"Er ligt nog geen wetsvoorstel. Het wetsvoorstel dat er zal komen, is nog in ontwerp, mede op basis van de adviezen die worden gegeven. Het is dus prematuur om daar nu al een oordeel over te geven. Bovendien is het de verantwoordelijkheid van de bewindspersoon die het voorstel indient, dus van de minister van Asiel en Migratie. Het is niet aan mij om over haar portefeuille te oordelen."
84,16,12,"Dit is gewoon verantwoordelijkheid afschuiven. We kunnen niet meer stellen dat deze staatssecretaris verantwoordelijkheid heeft voor de kwaliteit van wetgeving, als hij dit zo makkelijk blijft afschuiven. De staatssecretaris geeft aan dat het prematuur zou zijn. Het zijn deze belangrijke instituten die nu aangeven dat dit wetgevingstraject niet deugt en dat ze er niet in meekunnen. Dan is het traject dus al bij voorbaat niet geslaagd. Dan deugt het al niet. Ik vraag de staatssecretaris dus nogmaals om zich uit te spreken over het broddelwerk dat mevrouw Faber op dit moment aan het leveren is. Anders is hij de titel ""hoeder van de kwaliteit van wetgeving"" gewoon niet waard."
85,12,16,"Ik wil daar nog wel iets over zeggen. Ik ben niet aan het afschuiven. De verantwoordelijkheid moet blijven liggen waar die ligt. We moeten niet de verantwoordelijkheid voor het wetsvoorstel doorschuiven naar iemand die daar niet voor verantwoordelijk is en er eigenlijk ook niet echt over kan oordelen in deze fase, alleen al omdat hij er onvoldoende van weet. Dat is dus niet aan de orde. Er is geen sprake van afschuiven van verantwoordelijkheid. Ik loop ook niet weg voor verantwoordelijkheid. Die verantwoordelijkheid neem ik op de plaats en het moment dat het past."
86,17,12,"Ik zit nu twintig minuten te luisteren en ik denk dat de mensen thuis er echt helemaal niets meer van begrijpen. Ze vragen zich af: waar hebben ze het over, waar heeft de Kamer het over? Het gaat hier over een nogal belangrijk wetsvoorstel van het kabinet, dat de rechten van mensen die zich in Nederland bevinden ernstig zal raken. Er zijn heel serieuze signalen dat er niet zorgvuldig wordt omgegaan met het wetgevingsproces. Ik begrijp dat de staatssecretaris daar op dit moment geen politiek oordeel over wil vellen, in ieder geval niet in deze Kamer, en dat hij de verantwoordelijkheid neerlegt bij de verantwoordelijke minister. Volgens mij heeft het dus geen zin om daarop door te vragen. Vandaar dat ik de volgende vraag stel. Wanneer kan je een wetsvoorstel, wanneer je het ter consultatie stuurt, als vertrouwelijk bestempelen? Is dat eigenlijk niet alleen in heel specifieke gevallen?"
87,12,17,"Mij is niet bekend dat dit wetsvoorstel als vertrouwelijk is aangemerkt en ook niet de advisering daaromtrent. De vraag was wanneer iets als vertrouwelijk kan worden aangemerkt. Is dat geen antwoord op de vraag, voorzitter? Ik heb gezegd dat ik niet de indruk heb dat hier iets als vertrouwelijk is aangemerkt."
88,11,12,"Volgens mij was de vraag meer in algemene zin bedoeld. De vraag die ik heb, gaat hier wel op door en is namelijk de volgende. Boven de brief waarmee de minister van Asiel en Migratie dit wetsvoorstel heeft aangeboden aan de geconsulteerden, staat ""departementaal vertrouwelijk"", ""Dep. vertrouwelijk"". Misschien zou de staatssecretaris de Kamer dus zo snel mogelijk — ik snap dat hij daar nu niet meteen op kan antwoorden — opheldering kunnen verschaffen over wat nou precies de status was van het wetsvoorstel dat is toegestuurd. Volgens mij bedoelt mevrouw Piri ook dat eigenlijk de lijn zou moeten zijn dat dit soort dingen niet op deze manier vertrouwelijk en zonder goede redengeving ter consultatie worden toegezonden. Dat is ook in lijn met wat de staatssecretaris als antwoord heeft gegeven."
89,12,11,"In algemene zin geldt dat het gebruikelijk is, en goed gebruik is, om een internetconsultatie te doen, maar dat is geen wettelijke verplichting. Er kunnen bijzondere omstandigheden zijn die reden zijn om dat niet te doen. Dat is een keuze en onderdeel van een beleidsmatige afweging. Het staat echter overeind dat mijn advies altijd aan iedere bewindspersoon zal zijn om het integrale Beleidskompas te volgen en om gebruik te maken van de mogelijkheid tot internetconsultatie binnen de daarvoor aanbevolen termijnen."
90,18,12,"De staatssecretaris wil geen verantwoordelijkheid afschuiven. Tegelijkertijd — dat maakt dit gesprek met de Kamer zo ingewikkeld — vinden wel heel veel omtrekkende bewegingen plaats. Deze Kamer wil en verwacht als medewetgever dat de staatssecretaris die bij uitstek verantwoordelijk is voor de wetgevingskwaliteit, optreedt als waakhond en duidelijk aanslaat op het moment dat de wetgevingskwaliteit in het gedrang komt, bijvoorbeeld omdat uitvoeringsorganisaties onvoldoende ruimte krijgen. Mijn vraag is: erkent de staatssecretaris dat hij die functie heeft, en dat dat niet alleen iets is voor achter gesloten deuren, maar dat dat gewoon zijn verantwoordelijkheid is, waarover hij ook luid en duidelijk kan verklaren, ook hier in de Kamer?"
91,12,18,"In algemene zin is het mijn verantwoordelijkheid, waarover ik vrijelijk en graag verklaringen afleg, zoals hier. Over dit specifieke wetsvoorstel en de kwaliteit van de totstandkoming daarvan: op het moment dat het voor besluitvorming in de ministerraad voorligt, zal de kwaliteit van het totstandkomingsproces alsmede de uitvoerbaarheid van het wetsvoorstel mijn bijzondere aandacht hebben."
92,18,12,Dus heel concreet: deze staatssecretaris kan deze Kamer ervan verzekeren dat bijvoorbeeld ook uitvoeringsorganisaties op de momenten die daarvoor zijn alle benodigde ruimte krijgen om te checken op het niveau van uitvoerbaarheid van wetgeving?
93,12,18,Uitvoerbaarheid is een kernelement van het wetgevingsproces. Daarvoor hebben we vanuit dit kabinet bijzondere aandacht. In het kader van het Beleidskompas zijn er diverse uitvoeringstoetsen die moeten worden uitgevoerd. In dat kader zal ongetwijfeld ook contact zijn met de organisaties die de uitvoering moeten gaan doen.
94,1,12,"Dank aan de staatssecretaris. Tot zover dit onderwerp en tot zover ook het vragenuurtje. Ik schors tot 15.00 uur. De vergadering wordt van 14.56 uur tot 15.05 uur geschorst. De ramp in Mariahoeve, Den Haag"
